id,description,display,defaultPrice,tags,expirationDay
I001,자줏빛이 감도는 짙은 흑미알이 고르게 섞인 밥. 표면에 윤기가 돌며 묵직한 향을 낸다.,LowerShelf,1000,Grains,10
I002,밀빛의 긴 면발. 반투명하게 빛을 반사하며 표면은 살짝 매끄럽고 차가운 감촉을 준다.,LowerShelf,1000,Grains,10
I003,창백하고 부드러운 사각형 조각. 눌렀을 때 미세한 수분이 배어나오며 가장자리가 살짝 들떠 있다.,Refrigerator,1000,Grains,10
I004,하얗고 단단한 껍질 속에 낱알이 겹겹이 박혀 있다. 으깨면 미세한 증기가 피어오른다.,Refrigerator,1000,Vegetables,10
I005,보랏빛이 짙은 조각. 표면에 염분 결정이 맺혀 있으며 눌렀을 때 단단한 탄성이 있다.,Refrigerator,1000,Vegetables,10
I006,선명한 붉은빛과 노란빛을 띠는 두꺼운 과육. 표면은 매끄럽고 광택이 있으며 단면에서는 달콤하고 싱그러운 향이 퍼져 나온다.,Refrigerator,1000,Vegetables,10
I007,깊은 붉은빛의 걸쭉한 장. 표면에 검은 기름막이 얇게 떠 있으며 매운 향과 은근한 단맛이 뒤섞여 있다.,UpperShelf,1000,Sauces,10
I008,밝은 노란색 껍질이 매끈하고 반짝인다. 단면에서는 향기로운 산미가 퍼져 나온다.,Refrigerator,1000,Sauces,10
I009,균일한 적갈색 덩어리. 결이 일정하게 배열되어 있으며 눌렀다 놓으면 천천히 원래 형태로 돌아간다. 열을 가하면 은은한 금속 향과 감칠맛이 올라온다.,Refrigerator,1000,Meat,10
I010,은백색 껍질이 희미하게 빛나며 어둠 속에서도 윤광을 발한다. 흔들면 내부에서 은은한 빛이 출렁인다.,Refrigerator,1000,Meat,10
I011,검푸른 조개껍질 속에 촉촉한 주황빛 살이 자리한다. 껍질을 열면 바닷물의 짠 냄새와 함께 은은한 미끈한 감촉이 전해진다.,Refrigerator,1000,Meat,10
I012,하얀 갓에 회색 줄무늬가 있으며 표면은 전기를 차단하는 듯한 둔탁한 질감.,LowerShelf,1000,Vegetables,10
I013,푸른빛과 보랏빛이 섞인 가느다란 잎줄기. 잎끝에는 이슬처럼 보이는 작은 빛 알갱이가 맺혀 있으며 손에 닿으면 잠시 차가운 감각이 남는다.,Refrigerator,1000,Vegetables,10
I014,짙은 청록빛 액체. 빛에 따라 푸른 불빛이 스며 나오며 표면에는 미세한 기포가 일렁인다.,UpperShelf,1000,Sauces,10
I015,짙은 흑색의 점성이 강한 액체. 빛에 비추면 은색의 미세한 입자가 떠다니며 특유의 바다 비린 향과 깊은 감칠맛이 묻어난다.,LowerShelf,1000,Meat,10
I016,작고 붉은빛이 도는 껍질이 단단히 마른 형태. 손으로 눌리면 바삭하고 부서지며 강렬한 해산물 향이 퍼져 나온다.,Refrigerator,1000,Meat,10
I017,금속광택이 도는 회색 뿌리. 손에 닿으면 서늘하며 단단한 결이 마치 강철처럼 느껴진다.,LowerShelf,1000,Vegetables,10
I018,길고 속이 빈 줄기. 겉은 짙은 녹색 속은 옅은 흰빛을 띤다.,Refrigerator,1000,Vegetables,10
I019,깊은 흑갈색 덩어리 형태의 장. 표면은 약간 매끄럽고 숙성된 곡물 향과 묵직한 감칠맛이 난다.,UpperShelf,1000,Sauces,10
I020,투명한 황금빛 액체로 내부에서 잔불처럼 빛이 미세하게 흔들린다.,UpperShelf,1000,Sauces,10
I021,미세한 금빛 결정. 반짝이는 입자가 금속성 빛을 내며 혀끝에 닿으면 즉시 녹는다.,UpperShelf,1000,Sauces,10
I022,회갈색 버터 속에 검은 잎 조각이 섞여 있다. 살짝 녹이면 연기 같은 향이 피어오른다.,UpperShelf,1000,Dairy,10
I023,은빛이 바랜 작은 생선. 마른 비늘이 바삭하게 부서지고 꼬리가 구부러져 있다.,LowerShelf,1000,Meat,10
I024,작은 흑색 씨앗. 매끈하고 단단하며 손가락 사이에서 번쩍 빛난다.,UpperShelf,1000,Sauces,10
I025,진한 초록빛의 가느다란 잎사귀. 표면에는 미세한 돌기가 있어 손끝에 걸리는 느낌을 주며 씹으면 매운 열기가 서서히 퍼져 오른다.,Refrigerator,1000,Vegetables,10
I026,반투명한 청록색 잎. 표면에 미세한 빛 입자가 흐르고 손끝에서 은은한 열이 난다.,Refrigerator,1000,Vegetables,10
I027,붉은 과육 안쪽에서 은은한 광채가 새어 나오는 과실. 껍질은 매끄럽고 팽팽하며 절단면에서는 반짝이는 씨앗 방울이 흐른다.,Refrigerator,1000,Vegetables,10
I028,푸른빛 껍질이 얇게 떠 있으며 손에 쥐면 공기 주머니처럼 가볍다.,LowerShelf,1000,Vegetables,10
I029,노란 전기 불꽃처럼 빛나는 꽃잎. 가까이 대면 미세한 찌릿한 감각이 전해진다.,LowerShelf,1000,Vegetables,10
I030,균일한 육질의 정육면체. 결이 일정하며 살짝 눌러도 형태를 유지한다.,Refrigerator,1000,Meat,10
I031,균일한 주황빛 색조의 단면. 인공 섬유질이 가지런히 결을 이루며 광택이 일정하다.,Refrigerator,1000,Meat,10
I063,희미하게 바스러지는 흰빛 골편. 가까이 대면 오래된 육향과 금속성 선홍 냄새가 미세하게 공기 속으로 스며든다.,LowerShelf,1000,Other,10
I064,검푸른 실타래처럼 얽힌 식물 조직. 손가락 사이로 늘어지며 바다의 습기와 조용한 파도 냄새가 따라온다.,Refrigerator,1000,Seafood,10
I065,은빛 얼룩이 스며든 길고 단단한 뿌리. 빛을 비추면 표면에서 작은 달빛 입자가 천천히 흘러내린다.,LowerShelf,1000,Vegetables,10
