id,kor_name,description,display,defaultPrice,tags,expirationDay,usage_count,garden_weight_1,,,,
I004,마늘,하얗고 단단한 껍질 속에 낱알이 겹겹이 박혀 있다. 으깨면 미세한 증기가 피어오른다.,Refrigerator,1500,Vegetables,1,1,0.04,,,,
I005,가지,보랏빛이 짙은 조각. 표면에 염분 결정이 맺혀 있으며 눌렀을 때 단단한 탄성이 있다.,Refrigerator,1500,Vegetables,1,1,0.04,,,,
I012,절연 버섯,하얀 갓에 회색 줄무늬가 있으며 표면은 전기를 차단하는 듯한 둔탁한 질감.,LowerShelf,300,Vegetables,2,3,0.2,,,,
I013,새벽풀,푸른빛과 보랏빛이 섞인 가느다란 잎줄기. 잎끝에는 이슬처럼 보이는 작은 빛 알갱이가 맺혀 있으며 손에 닿으면 잠시 차가운 감각이 남는다.,Refrigerator,1500,Vegetables,1,1,0.04,,,,
I017,스틸루트,금속광택이 도는 회색 뿌리. 손에 닿으면 서늘하며 단단한 결이 마치 강철처럼 느껴진다.,LowerShelf,1500,Vegetables,1,1,0.04,,,,
I018,대파,길고 속이 빈 줄기. 겉은 짙은 녹색 속은 옅은 흰빛을 띤다.,Refrigerator,1500,Vegetables,1,1,0.04,,,,
I025,청양잎,진한 초록빛의 가느다란 잎사귀. 표면에는 미세한 돌기가 있어 손끝에 걸리는 느낌을 주며 씹으면 매운 열기가 서서히 퍼져 오른다.,Refrigerator,300,Vegetables,2,3,0.2,,,,
I026,루미잎,반투명한 청록색 잎. 표면에 미세한 빛 입자가 흐르고 손끝에서 은은한 열이 난다.,Refrigerator,600,Vegetables,3,2,0.12,,,,
I027,빛 토마토,붉은 과육 안쪽에서 은은한 광채가 새어 나오는 과실. 껍질은 매끄럽고 팽팽하며 절단면에서는 반짝이는 씨앗 방울이 흐른다.,Refrigerator,600,Vegetables,3,2,0.12,,,,
I028,바람콩,푸른빛 껍질이 얇게 떠 있으며 손에 쥐면 공기 주머니처럼 가볍다.,LowerShelf,1500,Vegetables,1,1,0.04,,,,
I029,전기꽃,노란 전기 불꽃처럼 빛나는 꽃잎. 가까이 대면 미세한 찌릿한 감각이 전해진다.,LowerShelf,1500,Vegetables,1,1,0.04,,,,
I065,달의 뿌리,은빛 얼룩이 스며든 길고 단단한 뿌리. 빛을 비추면 표면에서 작은 달빛 입자가 천천히 흘러내린다.,LowerShelf,1500,Vegetables,1,1,0.04,,,,
I066,양파,투명한 막이 겹겹이 쌓인 둥근 구근. 칼끝이 닿으면 매운 향이 즉시 피어올라 눈물이 맺히게 한다.,Refrigerator,1500,Vegetables,1,1,0.04,,,,
