NpcId,Condition,Speaker,Text
npc_getoro,Good,게토로,미세먼지 농도 수치 좋음. 오늘은 산책하기 좋은 날씨 군요.
npc_getoro,Bad,게토로,"미세먼지 농도 수치 나쁨. 마스크 쓰시는 걸 권장드립니다."
npc_jar,Any,자르,"이것 참, 1지구는 항상 설비 중 하나는 맛이 간다니까."
npc_jar,Any,자르,"어이, 반갑구만! 도시락 가게 수도관은 문제 없지? 별 일 있으면 불러!"
npc_sranya,Any,스라냐,"라랄 라라~ 아니야, 더 좋은 후렴이 있지 않을까? 루룰 루루~"
npc_pajama,Good,파자마,"오늘은 날씨가 좋아서 광원이 잘 나오겠는 걸… 어맛! 언제 오셨어요?"
npc_pajama,Bad,파자마,"오늘은 날씨가 탁해서 분위기가 잘 살겠는 걸… 어맛! 언제 오셨어요?"
npc_moai,Any,모아이,"으흠, 으흠… 한 놈 두시기 석삼…"
npc_nimo,Any,니모,바쁘다 바빠! 조만간 더 큰 수송선을 사고야 말테야.
npc_lede,Any,레데,"음흠흠… 오늘 거래는 틀어지지 않아야 할텐데…"
npc_gabriel,Any,가브리엘,"하… 인생이 살 맛이 안 나 살맛이…"
npc_gabriel,Any,가브리엘,"도시락 장수, 지독하게도 할 일이 없나보군."
