"id","npc","contents","condition","next","branchId"
"D001","자르","이 구역 처음이지? 냄새만 맡아도 알겠다.","FirstMeet","D002",""
"D002","플레이어","배달 때문에 자주 오진 않아요. 살아 돌아가기 힘들거든요.","Serial","D003",""
"D003","게토로","안전 확률 43%. 평균 이하입니다.","Serial","D004",""
"D004","플레이어","위로가 되는 수치는 아니네요.","Serial","D005",""
"D005","자르","여기선 배보다 전기가 먼저 고장 나지.","Serial","D006",""
"D006","플레이어","그래서 배달이 필요한 거겠죠.","Serial","",""
"D007","자르","겁먹은 표정인데, 괜찮겠어?","Normal","","B001"
"D008","자르","하, 마음에 드는군. 배달꾼답네.","Serial","",""
"D009","자르","솔직한 놈이 오래 살지. 조심만 해라.","Serial","",""
"D010","자르","왔군. 냄새만으로도 배달꾼인 줄 알았다.","QuestStart","D011",""
"D011","플레이어","합성 닭 도시락 배달 왔습니다. 따끈하게","Serial","D012",""
"D012","게토로","경고. 주변 전류 과다 감지.","Serial","D013",""
"D013","자르","여기선 음식도 시험을 통과해야 먹을 수 있어.","Serial","","B002"
"D014","내레이션","(도시락이 스파크에 타버린다.)","Serial","D015",""
"D015","게토로","도시락 온도 급상승. 탄화 진행.","Serial","D016",""
"D016","자르","음식이 아니라 사고 현장인데?","Serial","D017",""
"D017","플레이어","…이 환경에선 일반 도시락은 못 버티네요.","Serial","D018",""
"D018","게토로","절연 재료 필요성 확인.","Serial","D019",""
"D019","플레이어","폐수조 근처 절연 버섯이라면 가능할지도.","Serial","D020",""
"D020","자르","그거면 기다릴 가치 있지.","Serial","D021",""
"D021","플레이어","구해오겠습니다.","Serial","",""
"D022","게토로","현명한 판단.","Serial","D023",""
"D023","자르","눈치는 있군. 준비되면 다시 말해라.","Serial","",""
"D024","자르","아직이냐? 배보다 성질이 먼저 타겠다.","Ordering","","B003"
"D025","자르","좋아. 굶어 죽기 전에만 와라.","Serial","D027",""
"D026","자르","위험하지 않은 공단이 어딨냐.","Serial","D027",""
"D027","게토로","전력실 온도 유지 중. 대기 가능 시간 계산 중입니다.","Serial","D028",""
"D028","플레이어","기다려줘서 고마워요.","Serial","D029",""
"D029","게토로","주문은 신뢰의 연산입니다.","Serial","",""
"D030","플레이어","배달이 아니라… 요리를 들고 왔어요.","OrderEnd","D031",""
"D031","자르","이름부터 말해봐.","Serial","D032",""
"D032","플레이어","전력실 꼬치입니다.","Serial","D033",""
"D033","게토로","절연 버섯 확인. 전류 흡수 가능성 높음.","Serial","D034",""
"D034","자르","말뿐이면 화낸다.","Serial","D035",""
"D035","플레이어","직접 확인해보죠.","Serial","D036",""
"D036","내레이션","(전류가 꼬치를 스친다.)","Serial","D037",""
"D037","게토로","풍미 안정 84%. 식용 가능.","Serial","D038",""
"D038","자르","오… 안 타네.","Serial","D039",""
"D039","플레이어","전류는 열로 바뀌게 만들었어요.","Serial","D040",""
"D040","내레이션","(정전 발생)","Serial","D041",""
"D041","자르","차단기 나갔다… 불 꺼졌는데 냄새는 남네.","Serial","D042",""
"D042","게토로","열 잔존 확인. 따뜻함 지속.","Serial","D043",""
"D043","플레이어","그러니까 먹죠.","Serial","D044",""
"D044","자르","마지막 꼬치 하나 남았다. 누가 가지지?","Serial","","B004"
"D045","자르","…배달꾼치곤 정 많네.","Serial","D048",""
"D046","게토로","논리적이며 감정적으로 타당한 선택입니다.","Serial","D047",""
"D047","자르","그 말, 마음에 든다.","Serial","D048",""
"D048","게토로","전력은 끊겨도…","Serial","D049",""
"D049","자르","배는 부르고.","Serial","D050",""
"D050","플레이어","온도는 남네요.","Serial","D051",""
"D051","게토로","퀘스트 완료. 관계 안정도 상승 확인.","Serial","",""
